,Movie Name,Year of Release,Run Time,Rating,Metascore,Genre,Votes,Gross,Description
72,Amadeus,-1984,160 min,8.4,88,"Biography, Drama, Music","412,644",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
73,Come and See,-1985,142 min,8.4,****,"Drama, Thriller, War","87,812",#92,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
74,Your Name.,-2016,106 min,8.4,81,"Animation, Drama, Fantasy","292,350",$5.02M,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
75,Coco,(I) (2017),105 min,8.4,81,"Animation, Adventure, Drama","543,699",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
76,WALL·E,-2008,98 min,8.4,95,"Animation, Adventure, Family","1,152,796",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
77,3 Idiots,-2009,170 min,8.4,67,"Comedy, Drama","414,082",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
78,The Lives of Others,-2006,137 min,8.4,89,"Drama, Mystery, Thriller","398,670",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,-1964,95 min,8.4,97,"Comedy, War","503,111",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
80,Capernaum,-2018,126 min,8.4,75,Drama,"96,846",$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
81,Das Boot,-1981,149 min,8.4,86,"Drama, War","257,106",$11.49M,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
82,Sunset Blvd.,-1950,110 min,8.4,94,"Drama, Film-Noir","228,590",#61,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
83,Paths of Glory,-1957,88 min,8.4,90,"Drama, War","203,857",#62,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
84,Witness for the Prosecution,-1957,116 min,8.4,76,"Crime, Drama, Mystery","130,810",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
85,High and Low,-1963,143 min,8.4,90,"Crime, Drama, Mystery","48,661",#87,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
86,The Great Dictator,-1940,125 min,8.4,****,"Comedy, Drama, War","230,171",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
87,Kaithi,-2019,145 min,8.4,****,"Action, Adventure, Crime","36,829",%^%^%^,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
88,Sardar Udham,-2021,164 min,8.4,****,"Biography, Crime, Drama","44,606",%^%^%^,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
89,Asuran,-2019,141 min,8.4,****,"Action, Drama","31,555",%^%^%^,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story."
90,Drishyam 2,-2021,152 min,8.4,****,"Crime, Drama, Thriller","39,330",%^%^%^,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
91,Top Gun: Maverick,-2022,130 min,8.3,78,"Action, Drama","611,361",$718.73M,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
92,Inglourious Basterds,-2009,153 min,8.3,69,"Adventure, Drama, War","1,505,754",$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
93,Heat,-1995,170 min,8.3,76,"Action, Crime, Drama","683,720",$67.44M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
94,American Beauty,-1999,122 min,8.3,84,Drama,"1,178,910",$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
95,Requiem for a Dream,-2000,102 min,8.3,71,Drama,"867,253",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
96,Good Will Hunting,-1997,126 min,8.3,70,"Drama, Romance","1,012,138",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
97,Scarface,-1983,170 min,8.3,65,"Crime, Drama","874,177",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
98,Eternal Sunshine of the Spotless Mind,-2004,108 min,8.3,89,"Drama, Romance, Sci-Fi","1,037,909",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
99,The Hunt,-2012,115 min,8.3,77,Drama,"344,880",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
100,Braveheart,-1995,178 min,8.3,68,"Biography, Drama, History","1,061,161",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
101,Once Upon a Time in America,-1984,229 min,8.3,75,"Crime, Drama","363,101",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
102,2001: A Space Odyssey,-1968,149 min,8.3,84,"Adventure, Sci-Fi","690,684",$56.95M,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
103,A Clockwork Orange,-1971,136 min,8.3,77,"Crime, Sci-Fi","853,084",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
104,Reservoir Dogs,-1992,99 min,8.3,81,"Crime, Thriller","1,050,069",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
105,Full Metal Jacket,-1987,116 min,8.3,78,"Drama, War","763,820",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
106,Toy Story,-1995,81 min,8.3,96,"Animation, Adventure, Comedy","1,027,047",$191.80M,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
